client_id,date,month_year,sessions,impressions,clicks,ctr,position,avg_session_duration,bounce_rate,pages_per_session,conversions,conversion_rate,review_count,avg_rating,new_reviews
client_001,2025-04-29,Apr 2025,885,15302,619,0.0405,14.0,104,0.38,2.6,64,0.073,21,4.4,4
client_001,2025-05-29,May 2025,866,15186,606,0.0399,10.1,106,0.39,3.1,48,0.056,22,4.3,4
client_001,2025-06-28,Jun 2025,804,16204,562,0.0347,11.7,131,0.51,2.9,44,0.056,21,4.3,4
client_001,2025-07-28,Jul 2025,945,16239,661,0.0407,17.4,140,0.43,2.5,39,0.042,25,4.6,5
client_001,2025-08-27,Aug 2025,835,19706,584,0.0296,10.6,149,0.41,3.5,47,0.057,28,4.9,3
client_001,2025-09-26,Sep 2025,978,20569,684,0.0333,15.3,119,0.46,3.5,76,0.078,29,4.5,3
client_001,2025-10-26,Oct 2025,1108,22146,775,0.035,14.1,114,0.41,2.8,34,0.031,27,4.8,5
client_001,2025-11-25,Nov 2025,921,19015,644,0.0339,15.1,161,0.47,4.4,57,0.063,31,4.8,5
client_001,2025-12-25,Dec 2025,992,20602,694,0.0337,11.3,155,0.48,4.3,53,0.054,34,4.9,4
client_001,2026-01-24,Jan 2026,1329,25810,930,0.036,12.9,137,0.44,2.6,47,0.035,31,4.5,5
client_001,2026-02-23,Feb 2026,1303,25951,912,0.0351,15.6,110,0.37,3.1,49,0.038,34,4.7,7
client_001,2026-03-25,Mar 2026,1561,27939,1092,0.0391,9.9,170,0.46,4.1,116,0.075,34,4.5,4
client_002,2025-04-29,Apr 2025,1295,26412,906,0.0343,8.1,135,0.43,2.9,46,0.036,21,4.4,4
client_002,2025-05-29,May 2025,1222,26349,855,0.0324,11.6,177,0.54,3.0,67,0.055,19,4.4,2
client_002,2025-06-28,Jun 2025,1441,25809,1008,0.0391,8.3,121,0.48,3.9,81,0.057,22,4.9,5
client_002,2025-07-28,Jul 2025,1222,25147,855,0.034,16.0,132,0.55,3.3,86,0.071,22,4.4,4
client_002,2025-08-27,Aug 2025,1178,29000,824,0.0284,14.8,91,0.45,3.0,73,0.062,27,4.9,3
client_002,2025-09-26,Sep 2025,1721,35664,1204,0.0338,10.1,138,0.49,3.0,66,0.039,25,4.6,2
client_002,2025-10-26,Oct 2025,1338,34296,936,0.0273,17.0,146,0.42,3.2,88,0.066,29,4.8,7
client_002,2025-11-25,Nov 2025,1859,34057,1301,0.0382,9.6,170,0.47,2.5,65,0.035,30,4.9,3
client_002,2025-12-25,Dec 2025,1676,35752,1173,0.0328,14.5,110,0.49,3.0,77,0.046,33,4.5,4
client_002,2026-01-24,Jan 2026,1959,36754,1371,0.0373,11.7,113,0.4,4.4,97,0.05,33,4.6,6
client_002,2026-02-23,Feb 2026,2000,40682,1400,0.0344,10.0,155,0.41,2.5,124,0.062,33,4.9,7
client_002,2026-03-25,Mar 2026,2517,45429,1761,0.0388,8.2,173,0.44,4.4,196,0.078,34,4.3,6
client_003,2025-04-29,Apr 2025,647,7529,452,0.06,9.7,140,0.54,3.9,37,0.059,19,4.7,7
client_003,2025-05-29,May 2025,567,7828,396,0.0506,11.2,166,0.38,3.9,32,0.058,20,4.8,4
client_003,2025-06-28,Jun 2025,650,7687,454,0.0591,8.1,146,0.39,2.6,32,0.05,24,4.8,5
client_003,2025-07-28,Jul 2025,692,9730,484,0.0497,11.3,103,0.55,4.2,50,0.073,22,4.3,7
client_003,2025-08-27,Aug 2025,708,9017,495,0.0549,16.3,114,0.54,3.4,51,0.072,27,4.5,4
client_003,2025-09-26,Sep 2025,840,11489,588,0.0512,13.2,119,0.51,3.0,43,0.052,26,4.3,6
client_003,2025-10-26,Oct 2025,720,10192,503,0.0494,8.6,172,0.44,3.0,24,0.035,27,4.7,6
client_003,2025-11-25,Nov 2025,871,11931,609,0.051,12.4,155,0.36,3.6,33,0.038,28,4.5,5
client_003,2025-12-25,Dec 2025,694,11510,485,0.0421,15.0,132,0.37,3.5,37,0.054,30,4.6,6
client_003,2026-01-24,Jan 2026,943,12487,660,0.0529,8.5,123,0.48,3.5,68,0.073,35,4.7,3
client_003,2026-02-23,Feb 2026,907,12835,634,0.0494,13.8,124,0.48,3.4,51,0.057,37,4.7,2
client_003,2026-03-25,Mar 2026,1257,14035,879,0.0626,8.7,99,0.35,2.7,80,0.064,34,4.7,6
client_004,2025-04-29,Apr 2025,824,20451,576,0.0282,10.8,100,0.49,3.8,60,0.074,21,4.6,6
client_004,2025-05-29,May 2025,816,18982,571,0.0301,16.1,179,0.43,3.2,56,0.069,23,4.4,6
client_004,2025-06-28,Jun 2025,958,20288,670,0.033,13.3,134,0.43,3.1,33,0.035,24,4.3,2
client_004,2025-07-28,Jul 2025,1065,24319,745,0.0306,14.8,133,0.45,2.7,36,0.035,25,4.5,4
client_004,2025-08-27,Aug 2025,1169,21782,818,0.0376,9.1,173,0.54,4.5,38,0.033,26,4.8,4
client_004,2025-09-26,Sep 2025,1364,24818,954,0.0384,16.4,168,0.52,3.4,56,0.041,25,4.8,3
client_004,2025-10-26,Oct 2025,1125,21220,787,0.0371,13.8,167,0.53,3.0,84,0.075,31,4.8,7
client_004,2025-11-25,Nov 2025,1311,25738,917,0.0356,15.1,112,0.42,3.4,55,0.043,29,4.6,3
client_004,2025-12-25,Dec 2025,1505,29675,1053,0.0355,15.4,151,0.4,3.3,81,0.054,30,4.8,7
client_004,2026-01-24,Jan 2026,1503,30203,1052,0.0348,13.6,119,0.36,4.3,114,0.076,34,4.6,5
client_004,2026-02-23,Feb 2026,1207,25310,844,0.0333,10.9,179,0.49,3.3,80,0.067,35,4.5,7
client_004,2026-03-25,Mar 2026,1580,29154,1106,0.0379,9.9,131,0.42,3.7,53,0.034,34,4.5,4
client_005,2025-04-29,Apr 2025,735,12000,514,0.0428,16.1,151,0.38,4.3,52,0.071,19,4.5,6
client_005,2025-05-29,May 2025,733,14001,513,0.0366,16.7,94,0.36,3.3,51,0.071,19,4.5,3
client_005,2025-06-28,Jun 2025,859,13798,601,0.0436,16.4,132,0.43,3.0,28,0.033,24,4.8,6
client_005,2025-07-28,Jul 2025,905,16092,633,0.0393,17.4,166,0.4,3.4,32,0.036,24,4.5,5
client_005,2025-08-27,Aug 2025,846,14120,592,0.0419,11.6,100,0.48,3.5,58,0.069,26,4.5,2
client_005,2025-09-26,Sep 2025,919,16640,643,0.0386,12.0,102,0.36,4.0,56,0.061,26,4.8,7
client_005,2025-10-26,Oct 2025,1098,16814,768,0.0457,14.4,139,0.37,4.0,62,0.057,27,4.8,5
client_005,2025-11-25,Nov 2025,951,16843,665,0.0395,16.0,131,0.52,4.0,31,0.033,32,4.9,6
client_005,2025-12-25,Dec 2025,915,17462,640,0.0367,11.4,138,0.44,3.7,45,0.05,33,4.4,2
client_005,2026-01-24,Jan 2026,1162,20766,813,0.0392,9.7,107,0.36,2.8,51,0.044,35,4.3,7
client_005,2026-02-23,Feb 2026,1041,17002,728,0.0428,11.6,135,0.49,2.6,72,0.07,33,4.7,7
client_005,2026-03-25,Mar 2026,1074,17214,751,0.0436,16.7,97,0.47,4.5,61,0.057,35,4.8,7
client_006,2025-04-29,Apr 2025,533,9005,373,0.0414,10.5,154,0.53,3.5,30,0.057,22,4.8,7
client_006,2025-05-29,May 2025,487,10080,340,0.0337,11.8,91,0.41,2.9,22,0.046,22,4.4,6
client_006,2025-06-28,Jun 2025,591,11880,413,0.0348,13.0,97,0.46,3.7,39,0.067,21,4.6,3
client_006,2025-07-28,Jul 2025,531,11398,371,0.0325,13.7,122,0.55,3.7,22,0.042,26,4.4,5
client_006,2025-08-27,Aug 2025,569,13803,398,0.0288,8.6,165,0.36,2.5,36,0.065,25,4.6,4
client_006,2025-09-26,Sep 2025,749,13032,524,0.0402,9.7,150,0.54,3.6,43,0.059,27,4.8,6
client_006,2025-10-26,Oct 2025,594,12374,415,0.0335,13.1,111,0.37,3.7,26,0.044,31,4.6,5
client_006,2025-11-25,Nov 2025,697,13211,487,0.0369,12.5,139,0.46,2.9,44,0.064,31,4.5,6
client_006,2025-12-25,Dec 2025,588,13233,411,0.0311,14.1,161,0.37,4.2,39,0.067,31,4.4,4
client_006,2026-01-24,Jan 2026,762,15410,533,0.0346,15.4,141,0.52,2.8,53,0.07,34,4.4,6
client_006,2026-02-23,Feb 2026,702,15675,491,0.0313,17.1,118,0.47,3.9,36,0.053,35,4.7,2
client_006,2026-03-25,Mar 2026,898,16989,628,0.037,17.0,124,0.46,4.3,54,0.061,36,4.6,4
client_007,2025-04-29,Apr 2025,828,15224,579,0.038,15.9,145,0.46,4.3,57,0.069,18,4.5,6
client_007,2025-05-29,May 2025,841,16687,588,0.0352,15.1,134,0.5,2.7,47,0.057,22,4.6,5
client_007,2025-06-28,Jun 2025,999,16067,699,0.0435,10.3,155,0.49,3.8,64,0.065,24,4.7,4
client_007,2025-07-28,Jul 2025,862,19416,603,0.0311,13.8,126,0.44,4.4,32,0.038,26,4.4,3
client_007,2025-08-27,Aug 2025,903,21361,632,0.0296,17.3,140,0.49,4.3,59,0.065,25,4.8,3
client_007,2025-09-26,Sep 2025,865,17182,605,0.0352,16.4,171,0.37,3.0,33,0.038,28,4.4,2
